Trial,A->B,A->C,B->C
1,226.66,,
2,223.02,,
3,220.68,,
4,221.28,,
5,220.86,,
6,224.48,,
7,231.98,,
8,228.74,,
9,237.18,,
10,236.16,,
11,241.96,,
12,241.26,,
13,236.38,,
14,235.64,,
15,240.9,,
16,242.68,,
17,244.62,,
18,240.16,,
19,241,,
20,243.24,,
21,243.08,,
22,243.4,,
23,243.38,,
