Trial,A->B,A->C,B->C
1,223.84,,
2,218.22,,
3,224.04,,
4,222.44,,
5,225.86,,
6,224.22,,
7,224.66,,
8,232,,
9,226.88,,
10,227.44,,
11,228.42,,
12,228.98,,
13,228.32,,
14,229.62,,
15,233,,
16,233.86,,
17,236.58,,
18,231.44,,
19,232.86,,
20,237.08,,
