Trial,A->B,A->C,B->C
,245.5,,
,237.5,,
,233.42,,
,230.72,,
,230.38,,
,224.6,,
,226.92,,
,222.76,,
,228.46,,
,228.02,,
,234.32,,
,230.86,,
,231.38,,
,229.98,,
,235.26,,
,231.9,,
,216.12,,
,225.08,,
,220.02,,
,219.36,,
