Trial,A->B,A->C,B->C
1,245.64,723.24,468.36
2,230.8,720.28,293.48
3,234.1,559.02,298.14
4,251.16,719.88,309.26
5,251.32,557.64,501.2
6,246.98,559.76,496.16
7,258.64,551.42,317.18
8,252.42,738.52,496.32
9,257.48,729.96,484.2
10,235.14,730,306.72
11,243.8,722.78,318.82
12,274.5,720.32,301.26
13,274.8,571.68,491.9
14,243.32,723.66,485.86
15,244.74,564.66,471.84
16,275.6,564.68,484.88
17,229.82,560.7,293.68
18,235.26,724.08,501.42
19,273.38,722.92,308.82
20,230.86,719.14,465.02
