Trial,A->B,A->C,B->C
1,239.44,705.92,327.88
2,235.1,707.28,524.1
3,211.36,718.3,484.54
4,223.88,704.6,485.78
5,213.66,704.4,301.32
6,214.92,701.8,495.66
7,206.26,701.96,502.04
8,219.42,700.84,494.26
9,222.18,697.86,495.88
10,199.82,694.08,482.16
11,232.4,702.34,486.8
12,231.02,697.06,319.04
13,226.96,700.88,323.08
14,226.6,705.54,484.42
15,227.98,703.44,497.2
16,229.8,712,487.46
17,215.64,707.84,471.4
18,224.24,701.34,480.92
19,223.12,710.96,485.56
20,225.76,704.22,317.8
