Trial,A->B,A->C,B->C
1,243.36,553.46,502.72
2,220.68,717.5,516.72
3,242.82,716.78,498.74
4,238.26,560.66,497.84
5,216.32,717.24,499.72
6,228.94,716.82,500.68
7,224.52,719.84,517.08
8,219.2,720.38,508.24
9,227.46,722.3,489.9
10,210.84,719.12,495.16
11,219.86,721.38,487.6
12,218.06,722.42,488.52
13,215.34,732.88,497.06
14,223.94,728.56,500.08
15,223.04,552.86,517.12
16,223.76,722.44,487.62
17,206.58,723.78,487.06
18,212.2,734.36,490.7
19,224.38,721.7,506.56
20,213.94,719.52,476.2
