idx,"1->2","1->3"
0,403.26,496.1
1,0.0,35.54
2,189.96,305.18
3,378.46,480.52
4,0.0,91.72
5,374.26,482.6
6,202.76,305.16
7,173.86,282.98
8,174.86,274.88
9,171.18,277.9
10,382.96,482.82
11,390.94,485.84
12,395.58,489.24
13,392.22,486.6
14,396.64,489.0
15,401.42,493.8
16,405.56,506.14
17,401.16,492.58
18,0.0,0.0
19,164.22,247.18
20,395.0,487.4
21,397.92,491.02
22,399.06,488.06
23,398.82,489.32
24,476.7,559.38
25,393.44,481.66
26,386.34,480.1
27,488.54,570.32
28,489.06,571.5
29,490.6,574.92
30,176.7,275.68
31,181.22,289.14
32,383.78,488.22
33,174.16,277.96
34,381.18,481.64
35,386.14,486.94
36,383.86,485.96
37,196.98,301.06
38,0.0,50.62
39,380.14,483.78
40,377.86,482.14
41,375.84,478.68
42,0.0,0.0
43,0.0,0.0
44,381.3,486.1
45,160.0,269.06
46,156.78,262.34
47,480.9,88.8
48,420.98,82.28
49,187.42,294.12
50,173.04,280.3
51,181.26,285.52
52,168.42,276.66
53,158.7,257.06
54,377.18,479.3
55,172.74,274.92
56,384.12,485.82
57,388.94,488.76
58,385.12,488.44
59,386.62,487.86
60,380.32,482.72
61,381.16,483.02
62,384.32,483.06
63,382.24,483.24
64,382.32,482.2
65,384.5,484.06
66,384.08,484.76
67,386.18,488.18
68,172.44,274.04
69,386.3,482.0
70,385.36,487.14
71,383.66,485.46
72,386.84,481.08
73,383.6,480.6
74,389.0,486.26
75,388.0,487.32
76,387.24,484.56
77,391.34,488.8
78,385.98,485.66
79,390.52,484.48
80,386.38,481.16
81,389.86,486.38
82,388.5,484.5
83,390.94,483.6
84,387.68,483.14
85,389.44,486.68
86,390.76,484.1
87,390.54,487.1
88,392.2,484.06
89,382.64,478.22
90,391.46,485.74
91,386.82,480.66
92,386.22,481.42
93,384.46,481.14
94,390.34,482.64
95,394.36,484.72
96,388.82,481.76
97,388.28,486.74
98,390.16,484.44
99,391.36,487.0
100,389.72,480.12
101,393.32,484.0
102,391.88,481.76
103,390.3,481.98
104,389.16,483.38
105,389.92,482.02
106,390.36,486.02
107,388.78,480.86
108,388.58,479.32
109,387.38,484.38
110,380.64,473.94
111,380.86,475.08
112,382.78,478.0
113,383.24,482.52
114,383.5,478.74
115,386.54,482.68
116,381.62,475.28
117,388.44,480.16
118,385.18,481.6
119,383.36,476.24
120,379.8,475.28
121,382.92,478.58
122,379.18,475.78
123,381.46,477.26
124,384.04,479.56
125,378.0,471.84
126,365.24,469.14
127,360.44,460.38
128,379.0,475.7
129,381.56,479.36
130,377.2,473.0
131,374.8,472.82
132,170.42,266.46
133,177.3,273.46
134,377.7,475.28
135,375.32,471.62
136,383.18,476.38
137,378.04,473.96
138,383.28,476.82
139,384.22,476.36
140,381.52,477.7
141,378.48,472.94
142,381.14,467.54
143,373.82,470.66
144,174.44,285.62
145,439.12,83.48
146,410.84,67.24
147,187.76,294.64
148,0.0,64.72
149,444.62,66.44
150,441.16,60.94
151,187.06,293.36
152,380.12,479.76
153,380.54,478.76
154,381.94,474.66
155,384.82,475.6
156,388.86,479.8
157,387.5,475.28
158,369.18,469.06
159,384.5,478.08
160,384.54,475.7
161,381.42,478.38
162,391.88,478.32
163,387.62,477.26
164,383.0,471.52
165,389.8,475.72
166,390.08,477.64
167,385.66,473.08
168,395.3,486.94
169,388.52,481.36
170,384.46,472.2
171,385.28,473.08
172,389.36,476.1
173,387.36,473.16
174,390.6,482.88
175,384.98,473.1
176,390.6,479.22
177,374.32,465.5
178,384.38,481.78
179,385.48,473.4
180,390.08,475.74
181,385.72,473.56
182,386.38,474.28
183,384.6,472.64
184,392.2,479.72
185,388.6,470.2
186,388.54,473.04
187,390.76,473.78
188,388.46,471.94
189,391.48,477.82
190,389.52,474.4
191,386.14,474.66
192,391.6,477.82
193,391.16,477.36
194,391.3,482.7
195,383.32,475.94
196,0.0,0.0
197,482.72,564.08
198,387.18,472.08
199,390.46,478.2
200,387.88,476.4
201,394.96,478.68
202,391.5,476.96
203,389.68,477.14
204,392.56,480.66
205,391.94,476.34
206,386.96,473.74
207,379.68,472.12
208,378.16,472.66
209,383.98,479.78
210,171.24,274.42
211,175.04,275.72
212,380.28,476.08
213,180.5,280.96
214,382.22,475.96
215,378.34,475.68
216,379.34,477.24
217,387.72,476.04
218,386.42,476.36
219,394.54,473.76
220,395.94,482.0
221,387.84,468.8
222,475.84,558.12
223,391.88,482.52
224,399.48,478.44
225,0.0,0.0
226,36.04,111.6
227,0.0,0.0
228,0.0,0.0
229,0.0,0.0
230,374.52,465.64
231,388.04,475.0
232,397.72,484.72
233,397.74,483.26
234,393.62,480.92
235,388.62,476.7
236,389.52,473.88
237,390.36,473.1
238,391.4,477.52
239,391.48,475.26
240,388.84,473.74
241,393.42,473.56
242,393.88,474.82
243,400.42,480.9
244,400.24,485.54
245,393.6,476.8
246,396.34,478.24
247,390.72,473.5
248,390.96,477.84
249,388.56,471.36
250,389.9,475.96
