Trial,A->B,A->C,B->C
1,234.34,,
2,237,,
3,232.38,,
4,230.64,,
5,233.9,,
6,236.98,,
7,238.18,,
8,235.68,,
9,237.82,,
10,234.78,,
11,232.3,,
12,238.42,,
13,229.98,,
14,227.8,,
15,231.16,,
16,227.7,,
17,227.28,,
18,228.02,,
19,229.48,,
20,232.14,,
