Trial,A->B,A->C,B->C
1,276.42,,990.3
2,273.94,,990.62
3,273.88,,985.7
4,277.74,,997.26
5,277.9,,995.86
6,279.1,,996.34
7,279.86,,990.48
8,278.28,,997.1
9,278.28,,999
10,277.82,,997.84
11,280,,1002.9
12,276.72,,1001.68
13,279.66,,1001.62
14,281.12,,999.48
15,279.92,,998.56
16,280.76,,1000.24
17,279.36,,998.44
18,277.82,,1003.4
19,275.94,,1003.72
20,276.28,,1001.08
21,280.7,,1001.9
22,278.86,,1003.76
23,277.2,,1011.18
24,279.5,,1001.52
25,278.7,,1010.1
26,,,1006.22
27,,,1011.88
